mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	Db.I{					Db	I		I		I						{	M	0	0	-5, -1, -4		-5.0	-5.0	0	6	0.0	0.0	1.375	0.0
1	1	1/4	1/4	4/4	2	1	I6					Db	I		I6		I		6					M	0	0	-1, -4, -5		-5.0	-1.0	1	3	0.25	0.125	0.875	0.125
1	1	1/2	1/2	4/4	2	1	IV(9)					Db	I		IV(9)		IV			9				M	0	0	-6, -2, -5	-4	-6.0	-6.0	0	3	0.0	0.0	0.625	0.0
1	1	5/8	5/8	4/4	2	1	IV					Db	I		IV		IV							M	0	0	-6, -2, -5		-6.0	-6.0	0	1	0.0	0.0	0.125	0.0
1	1	3/4	3/4	4/4	2	1	V(6)					Db	I		V(6)		V			6				M	0	0	-4, 0, -1		-4.0	-4.0	0	4	0.0	0.0	0.75	0.0
1	1	7/8	7/8	4/4	2	1	V2					Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4.0	-6.0	0	2	0.0	0.0	0.25	0.0
2	2	0	0	4/4	2	1	I6					Db	I		I6		I		6					M	0	0	-1, -4, -5		-5.0	-1.0	1	8	0.1111111111111111	0.125	2.25	0.05263157894736842
2	2	1/2	1/2	4/4	2	1	IV(9)					Db	I		IV(9)		IV			9				M	0	0	-6, -2, -5	-4	-6.0	-6.0	0	3	0.0	0.0	0.625	0.0
2	2	5/8	5/8	4/4	2	1	IV					Db	I		IV		IV							M	0	0	-6, -2, -5		-6.0	-6.0	0	1	0.0	0.0	0.125	0.0
2	2	3/4	3/4	4/4	2	1	V(6)					Db	I		V(6)		V			6				M	0	0	-4, 0, -1		-4.0	-4.0	0	4	0.0	0.0	0.75	0.0
2	2	7/8	7/8	4/4	2	1	V2					Db	I		V2		V		2					Mm7	0	0	-6, -4, 0, -3		-4.0	-6.0	0	2	0.0	0.0	0.25	0.0
3	3	0	0	4/4	2	1	I6					Db	I		I6		I		6					M	0	0	-1, -4, -5		-5.0	-1.0	0	5	0.0	0.0	1.125	0.0
3	3	1/4	1/4	4/4	2	1	I(94)					Db	I		I(94)		I			94				M	0	0	-5, -6, -4	-3	-5.0	-5.0	0	4	0.0	0.0	1.0	0.0
3	3	3/8	3/8	4/4	2	1	I					Db	I		I		I							M	0	0	-5, -1, -4		-5.0	-5.0	0	2	0.0	0.0	0.25	0.0
3	3	1/2	1/2	4/4	2	1	I(97)					Db	I		I(97)		I			97				M	0	0	-5, -1, -4	-3, 0	-5.0	-5.0	0	3	0.0	0.0	0.375	0.0
3	3	5/8	5/8	4/4	2	1	IV					Db	I		IV		IV							M	0	0	-6, -2, -5		-6.0	-6.0	2	5	0.2857142857142857	0.25	1.0	0.2
3	3	7/8	7/8	4/4	2	1	V(6)/ii					Db	I		V(6)/ii		V			6	ii			M	0	0	-2, 2, -6		-2.0	-2.0	0	5	0.0	0.0	0.625	0.0
4	4	0	0	4/4	2	1	V7/ii					Db	I		V7/ii		V		7		ii			Mm7	0	0	-2, 2, -1, -4		-2.0	-2.0	0	5	0.0	0.0	0.625	0.0
4	4	1/8	1/8	4/4	2	1	ii					Db	I		ii		ii							m	0	0	-3, -6, -2		-3.0	-3.0	2	5	0.2857142857142857	0.25	1.125	0.18181818181818182
4	4	3/8	3/8	4/4	2	1	vii%43	-0.944943	9.03651	0.137783	/	Db	I		vii%43		vii	%	43					%7	0	0	-6, -2, 0, -3		0.0	-6.0	0	4	0.0	0.0	0.5	0.0
4	4	1/2	1/2	4/4	2	1	IV					Db	I		IV		IV							M	0	0	-6, -2, -5		-6.0	-6.0	1	4	0.2	0.125	0.875	0.125
4	4	3/4	3/4	4/4	2	1	vi.V	-0.117713	-6.64661		/	Db	vi		V		V							M	0	1	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	0.75	0.0
4	4	7/8	7/8	4/4	2	1	V7					Db	vi		V7		V		7					Mm7	0	1	-1, 3, 0, -3		-1.0	-1.0	0	2	0.0	0.0	0.25	0.0
5	5	0	0	4/4	2	1	i|PAC}					Db	vi		i		i					PAC	}	m	0	1	-2, -5, -1		-2.0	-2.0	4	14	0.2222222222222222	0.5	4.75	0.09523809523809523
6	6	0	0	4/4	2	1	VI.I{					Db	VI		I		I						{	M	0	0	-2, 2, -1		-2.0	-2.0	0	7	0.0	0.0	1.5	0.0
6	6	3/8	3/8	4/4	2	1	iii					Db	VI		iii		iii							m	0	0	2, -1, 3		2.0	2.0	0	3	0.0	0.0	0.375	0.0
6	6	1/2	1/2	4/4	2	1	IV					Db	VI		IV		IV							M	0	0	-3, 1, -2		-3.0	-3.0	0	2	0.0	0.0	0.375	0.0
6	6	5/8	5/8	4/4	2	1	V43(9)					Db	VI		V43(9)		V		43	9				Mm7	0	0	0, -3, -1, 3	1	-1.0	0.0	0	3	0.0	0.0	0.625	0.0
6	6	3/4	3/4	4/4	2	1	V64(+6)					Db	VI		V64(+6)		V		64	+6				M	0	0	0, -1, 3	2	-1.0	0.0	0	2	0.0	0.0	0.375	0.0
